,id,name,lang,bot,created_at,statuses_count,num_tweets,num_retweets,avg_tweets_per_day,avg_retweets_per_tweet,avg_replies_per_tweet,avg_favorites_per_tweet,avg_hashtags_per_tweet,avg_mentions_per_tweet,avg_urls_per_tweet,cumulative_retweets,cumulative_replies,cumulative_favorites,cumulative_hashtags,cumulative_urls,cumulative_mentions,avg_tweet_length,entropy_hour,entropy_text_length,entropy_publication_rate
0,2353593986,Lamonica Raborn,en,1,2019-02-22 18:00:42,76,118,0,0.944,0.03389830508474576,0.0,0.0423728813559322,0.11016949152542373,0.2966101694915254,0.0,4.0,0.0,5.0,13.0,0.0,35.0,63.0,2.551728377463238,4.260845575832812,3.117708888088065
1,2358850842,Lourie Botton,en,0,2019-02-26 03:02:32,54,104,0,0.832,0.028846153846153848,0.0,0.057692307692307696,0.028846153846153848,0.36538461538461536,0.0,3.0,0.0,6.0,3.0,0.0,38.0,70.0,2.2893634432453838,4.129301149077259,2.9277891187130067
2,137959629,Dadan Syarifudin,en,1,2015-04-30 07:09:56,3,3,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0986122886681096,1.0986122886681096,0.06113954883893503
3,466124818,Carletto Focia,it,1,2017-01-18 02:49:18,50,1243,6,1.3734806629834253,0.07401448109412712,0.0,0.19308125502815768,0.06275140788415125,0.0008045052292839903,0.02574416733708769,92.0,0.0,240.0,78.0,32.0,1.0,89.0,2.8995504455346786,4.676457845735147,6.346154002371209
4,2571493866,MBK Ebook,en,0,2019-06-18 19:30:21,7085,3175,0,26.239669421487605,0.01763779527559055,0.0,0.06456692913385827,0.135748031496063,0.5411023622047244,0.0009448818897637795,56.0,0.0,205.0,431.0,3.0,1718.0,75.0,3.1699703997187205,4.7580712167078145,7.656938934207069
5,2199062688,Qq,en,0,2018-11-19 06:58:18,7406,956,754,3.006289308176101,1.3964435146443515,0.0,1.450836820083682,0.012552301255230125,0.6108786610878661,0.027196652719665274,1335.0,0.0,1387.0,12.0,26.0,584.0,37.0,2.8605057231421736,4.233102753162677,5.814503892041753
6,1174869769,Tania Wren,en,1,2018-02-15 10:51:28,21,19,2,0.2676056338028169,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,58.0,2.506661812497002,2.7255503958317213,2.7547926386087997
7,3118659848,charlotte gray,en,0,2020-03-31 21:19:59,115,78,19,2.4375,0.038461538461538464,0.0,1.6025641025641026,0.0641025641025641,0.5512820512820513,0.11538461538461539,3.0,0.0,125.0,5.0,9.0,43.0,56.0,2.773477699144573,3.8788421632688235,3.6085529846600632
8,616225564,Anisha Williams,en,0,2017-06-25 15:49:36,43,51,0,0.1559633027522936,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.27450980392156865,0.0,0.0196078431372549,1.0,1.0,1.0,14.0,1.0,0.0,68.0,2.9821555130219513,3.7415499361000264,3.5462833651683323
9,2357425536,Meda Tatlock,en,1,2019-02-25 04:30:56,69,131,0,1.0564516129032258,0.04580152671755725,0.0,0.03816793893129771,0.11450381679389313,0.366412213740458,0.0,6.0,0.0,5.0,15.0,0.0,48.0,68.0,2.6800292074072463,4.27319403632774,3.1241354539916495
